"","Race","Total_Undervotes","Percent_Undervotes","Total_Overvote","Republican","Republican_Percent","Democratic","Democratic_Percent","Libertarian","Libertarian_Percent","Republican.Margin","Difference.Between.Libertarian.and.the.Margin"
"1","Presidential",18756,0.0037,229,2461837,0.4898,2474507,0.4923,62138,0.0124,-12670,49468
"2","Senate - Perdue",69496,0.0138,104,2462617,0.4899,2374519,0.4724,115039,0.0229,88098,26941
